record_id,key,entry_type,year,title,author,booktitle,journal,publisher,doi,url,eprint,archiveprefix,note,cited_in_main,citation_count,first_cited_line
INC-191,wang2020fade,article,2020,Federated Deep Reinforcement Learning for Internet of Things With Decentralized Cooperative Edge Caching,"Wang, Xiaofei and Wang, Chenyang and Li, Xiuhua and Leung, Victor C. M. and Taleb, Tarik",,IEEE Internet of Things Journal,,10.1109/JIOT.2020.2986803,,,,,yes,1,646
INC-192,jiang2019marlcaching,article,2019,Multi-Agent Reinforcement Learning Based Cooperative Content Caching for Mobile Edge Networks,"Jiang, Wei and Feng, Gang and Qin, Shuang and Liu, Yijing",,IEEE Access,,10.1109/ACCESS.2019.2916314,,,,,yes,1,646
INC-193,mcmahan2017fedavg,inproceedings,2017,Communication-Efficient Learning of Deep Networks from Decentralized Data,"McMahan, Brendan and Moore, Eider and Ramage, Daniel and Hampson, Seth and Ag{\""u}era y Arcas, Blaise",Proc. 20th Int. Conf. Artificial Intelligence and Statistics (AISTATS),,,,https://proceedings.mlr.press/v54/mcmahan17a.html,,,,yes,1,646
INC-194,lin2024depin,article,2024,Decentralized Physical Infrastructure Networks ({DePIN}): Challenges and Opportunities,"Lin, Zhibin and Wang, Taotao and Shi, Long and Zhang, Shengli and Cao, Bin",,IEEE Network,,10.1109/MNET.2024.3487924,,,,early access,yes,1,1177
INC-195,vorick2014sia,misc,2014,Sia: Simple Decentralized Storage,"Vorick, David and Champine, Luke",,,,,https://sia.tech/sia.pdf,,,,yes,1,974
INC-196,storjlabs2018storj,techreport,2018,Storj: A Decentralized Cloud Storage Network Framework,"{Storj Labs, Inc.}",,,,,https://www.storj.io/whitepaper,,,,yes,1,974
INC-197,williams2018arweave,misc,2018,Arweave: A Protocol for Economically Sustainable Information Permanence,"Williams, Sam and Diordiiev, Viktor and Berman, Lev and Uemlianin, Ivan",,,,,https://www.arweave.org/yellow-paper.pdf,,,,yes,1,974
INC-198,tron2021swarm,misc,2021,The Book of Swarm: Storage and Communication Infrastructure for Self-Sovereign Digital Society,"Tr\'{o}n, Viktor",,,,,https://www.ethswarm.org/The-Book-of-Swarm.pdf,,,,yes,1,974
INC-199,juels2007pors,inproceedings,2007,{PORs}: Proofs of Retrievability for Large Files,"Juels, Ari and Kaliski, Burton S.",Proc. 14th ACM Conf. Computer and Communications Security (CCS),,,10.1145/1315245.1315317,,,,,yes,1,908
INC-200,fisch2019tight,inproceedings,2019,Tight Proofs of Space and Replication,"Fisch, Ben",Advances in Cryptology -- EUROCRYPT 2019,,,10.1007/978-3-030-17656-3_12,,,,,yes,1,908
INC-201,poon2016lightning,misc,2016,The Bitcoin Lightning Network: Scalable Off-Chain Instant Payments,"Poon, Joseph and Dryja, Thaddeus",,,,,https://lightning.network/lightning-network-paper.pdf,,,,yes,1,1192
INC-202,han2022incentive,article,2022,How Can Incentive Mechanisms and Blockchain Benefit with Each Other? A Survey,"Han, Rong and Yan, Zheng and Liang, Xueqin and Yang, Laurence T.",,ACM Computing Surveys,,10.1145/3539604,,,,,yes,1,906
INC-203,atzei2017survey,inproceedings,2017,A Survey of Attacks on {Ethereum} Smart Contracts ({SoK}),"Atzei, Nicola and Bartoletti, Massimo and Cimoli, Tiziana",Principles of Security and Trust (POST 2017),,,10.1007/978-3-662-54455-6_8,,,,,yes,1,1018
INC-204,molavikakhki2017quic,inproceedings,2017,Taking a Long Look at {QUIC}: An Approach for Rigorous Evaluation of Rapidly Evolving Transport Protocols,"Molavi Kakhki, Arash and Jero, Samuel and Choffnes, David and Nita-Rotaru, Cristina and Mislove, Alan",Proc. ACM Internet Measurement Conf. (IMC),,,10.1145/3131365.3131368,,,,,yes,1,316
INC-205,bentaleb2025onesecond,article,2025,Toward One-Second Latency: Evolution of Live Media Streaming,"Bentaleb, Abdelhak and Lim, May and Akcay, Mehmet N. and Begen, Ali C. and Hammoudi, Sarra and Zimmermann, Roger",,IEEE Communications Surveys \& Tutorials,,10.1109/COMST.2025.3555514,,,,early access,yes,1,184
INC-206,calder2013google,inproceedings,2013,Mapping the Expansion of Google's Serving Infrastructure,"Calder, Matt and Fan, Xun and Hu, Zi and Katz-Bassett, Ethan and Heidemann, John and Govindan, Ramesh",Proc. ACM Internet Measurement Conf. (IMC),,,10.1145/2504730.2504754,,,,,yes,1,306
INC-207,chen2016forwardingloop,inproceedings,2016,Forwarding-Loop Attacks in Content Delivery Networks,"Chen, Jianjun and Zheng, Xiaofeng and Duan, Haixin and Liang, Jinjin and Jiang, Jian and Li, Kang and Wan, Tao and Paxson, Vern",Proc. Network and Distributed System Security Symp. (NDSS),,,10.14722/ndss.2016.23442,,,,,yes,1,1016
INC-208,guo2020rangeamp,inproceedings,2020,{CDN} Backfired: Amplification Attacks Based on {HTTP} Range Requests,"Guo, Weizhong and Shen, Kaiwen and Mi, Xianghang and Hu, Yiming and Hao, Shuang and Liu, Baojun and Duan, Haixin",Proc. 50th Annu. IEEE/IFIP Int. Conf. Dependable Systems and Networks (DSN),,,10.1109/DSN48063.2020.00021,,,,,yes,1,1016
